2026-03-10 16:44:14,932 | TEXTAREA | INFO | Checking that textarea "Course description" has a value "Playwright 2.0"
2026-03-10 16:44:14,932 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-03-10 16:44:14,948 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-10 16:44:14,948 | INPUT | INFO | Fill input "Max score" to value "150"
2026-03-10 16:44:14,989 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-10 16:44:14,989 | INPUT | INFO | Checking that input "Max score" has a value "150"
2026-03-10 16:44:15,001 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-03-10 16:44:15,001 | INPUT | INFO | Fill input "Min score" to value "15"
2026-03-10 16:44:15,048 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-03-10 16:44:15,048 | INPUT | INFO | Checking that input "Min score" has a value "15"
2026-03-10 16:44:15,060 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-03-10 16:44:15,060 | BASE_ELEMENT | INFO | Clicking button "Button"
2026-03-10 16:44:15,152 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-preview-image" at index "0"
2026-03-10 16:44:15,152 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-03-10 16:44:15,163 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-03-10 16:44:15,163 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-10 16:44:15,170 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-03-10 16:44:15,170 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Playwright 2.0"
2026-03-10 16:44:15,179 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2026-03-10 16:44:15,179 | BASE_ELEMENT | INFO | Checking that text "Max score" is visible
2026-03-10 16:44:15,187 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2026-03-10 16:44:15,188 | BASE_ELEMENT | INFO | Checking that text "Max score" has text "Max score: 150"
2026-03-10 16:44:15,198 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2026-03-10 16:44:15,199 | BASE_ELEMENT | INFO | Checking that text "Min score" is visible
2026-03-10 16:44:15,211 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2026-03-10 16:44:15,211 | BASE_ELEMENT | INFO | Checking that text "Min score" has text "Min score: 15"
2026-03-10 16:44:15,221 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2026-03-10 16:44:15,221 | BASE_ELEMENT | INFO | Checking that text "Estimated time" is visible
2026-03-10 16:44:15,230 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2026-03-10 16:44:15,230 | BASE_ELEMENT | INFO | Checking that text "Estimated time" has text "Estimated time: 1 weeks"
