2026-03-04 12:06:48,205 | TEXTAREA | INFO | Checking that textarea "Course description" has a value "Playwright 2.0"
2026-03-04 12:06:48,205 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-03-04 12:06:48,216 | INPUT | INFO | Fill input "Max score" to value "150"
2026-03-04 12:06:48,216 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-04 12:06:48,254 | INPUT | INFO | Checking that input "Max score" has a value "150"
2026-03-04 12:06:48,254 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-04 12:06:48,264 | INPUT | INFO | Fill input "Min score" to value "15"
2026-03-04 12:06:48,264 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-03-04 12:06:48,300 | INPUT | INFO | Checking that input "Min score" has a value "15"
2026-03-04 12:06:48,301 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-03-04 12:06:48,310 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-03-04 12:06:48,310 | BASE_ELEMENT | INFO | Clicking button "Button"
2026-03-04 12:06:48,386 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-preview-image" at index "0"
2026-03-04 12:06:48,386 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-03-04 12:06:48,399 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-03-04 12:06:48,399 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 12:06:48,407 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-03-04 12:06:48,408 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Playwright 2.0"
2026-03-04 12:06:48,415 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2026-03-04 12:06:48,415 | BASE_ELEMENT | INFO | Checking that text "Max score" is visible
2026-03-04 12:06:48,425 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2026-03-04 12:06:48,425 | BASE_ELEMENT | INFO | Checking that text "Max score" has text "Max score: 150"
2026-03-04 12:06:48,434 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2026-03-04 12:06:48,434 | BASE_ELEMENT | INFO | Checking that text "Min score" is visible
2026-03-04 12:06:48,444 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2026-03-04 12:06:48,445 | BASE_ELEMENT | INFO | Checking that text "Min score" has text "Min score: 15"
2026-03-04 12:06:48,455 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2026-03-04 12:06:48,455 | BASE_ELEMENT | INFO | Checking that text "Estimated time" is visible
2026-03-04 12:06:48,465 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2026-03-04 12:06:48,465 | BASE_ELEMENT | INFO | Checking that text "Estimated time" has text "Estimated time: 1 weeks"
