2026-03-04 17:31:34,072 | TEXTAREA | INFO | Checking that textarea "Course description" has a value "Playwright 2.0"
2026-03-04 17:31:34,073 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-03-04 17:31:34,082 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-04 17:31:34,082 | INPUT | INFO | Fill input "Max score" to value "150"
2026-03-04 17:31:34,111 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-04 17:31:34,111 | INPUT | INFO | Checking that input "Max score" has a value "150"
2026-03-04 17:31:34,121 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-03-04 17:31:34,121 | INPUT | INFO | Fill input "Min score" to value "15"
2026-03-04 17:31:34,150 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-03-04 17:31:34,150 | INPUT | INFO | Checking that input "Min score" has a value "15"
2026-03-04 17:31:34,159 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-03-04 17:31:34,159 | BASE_ELEMENT | INFO | Clicking button "Button"
2026-03-04 17:31:34,233 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-preview-image" at index "0"
2026-03-04 17:31:34,233 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-03-04 17:31:34,253 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-03-04 17:31:34,253 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-04 17:31:34,262 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-03-04 17:31:34,262 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Playwright 2.0"
2026-03-04 17:31:34,270 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2026-03-04 17:31:34,270 | BASE_ELEMENT | INFO | Checking that text "Max score" is visible
2026-03-04 17:31:34,275 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2026-03-04 17:31:34,276 | BASE_ELEMENT | INFO | Checking that text "Max score" has text "Max score: 150"
2026-03-04 17:31:34,284 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2026-03-04 17:31:34,284 | BASE_ELEMENT | INFO | Checking that text "Min score" is visible
2026-03-04 17:31:34,295 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2026-03-04 17:31:34,295 | BASE_ELEMENT | INFO | Checking that text "Min score" has text "Min score: 15"
2026-03-04 17:31:34,302 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2026-03-04 17:31:34,302 | BASE_ELEMENT | INFO | Checking that text "Estimated time" is visible
2026-03-04 17:31:34,310 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2026-03-04 17:31:34,310 | BASE_ELEMENT | INFO | Checking that text "Estimated time" has text "Estimated time: 1 weeks"
