2026-03-10 16:28:56,783 | TEXTAREA | INFO | Checking that textarea "Course description" has a value "Playwright 2.0"
2026-03-10 16:28:56,784 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-description-input" at index "0"
2026-03-10 16:28:56,794 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-10 16:28:56,794 | INPUT | INFO | Fill input "Max score" to value "150"
2026-03-10 16:28:56,820 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-max-score-input" at index "0"
2026-03-10 16:28:56,820 | INPUT | INFO | Checking that input "Max score" has a value "150"
2026-03-10 16:28:56,827 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-03-10 16:28:56,827 | INPUT | INFO | Fill input "Min score" to value "15"
2026-03-10 16:28:56,856 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-form-min-score-input" at index "0"
2026-03-10 16:28:56,857 | INPUT | INFO | Checking that input "Min score" has a value "15"
2026-03-10 16:28:56,867 | BASE_ELEMENT | INFO | Getting locator with "data-testid=create-course-toolbar-create-course-button" at index "0"
2026-03-10 16:28:56,867 | BASE_ELEMENT | INFO | Clicking button "Button"
2026-03-10 16:28:56,944 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-preview-image" at index "0"
2026-03-10 16:28:56,944 | BASE_ELEMENT | INFO | Checking that image "Preview" is visible
2026-03-10 16:28:56,969 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-03-10 16:28:56,969 | BASE_ELEMENT | INFO | Checking that text "Title" is visible
2026-03-10 16:28:56,983 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-widget-title-text" at index "0"
2026-03-10 16:28:56,983 | BASE_ELEMENT | INFO | Checking that text "Title" has text "Playwright 2.0"
2026-03-10 16:28:56,997 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2026-03-10 16:28:56,997 | BASE_ELEMENT | INFO | Checking that text "Max score" is visible
2026-03-10 16:28:57,006 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-max-score-info-row-view-text" at index "0"
2026-03-10 16:28:57,006 | BASE_ELEMENT | INFO | Checking that text "Max score" has text "Max score: 150"
2026-03-10 16:28:57,024 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2026-03-10 16:28:57,024 | BASE_ELEMENT | INFO | Checking that text "Min score" is visible
2026-03-10 16:28:57,035 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-min-score-info-row-view-text" at index "0"
2026-03-10 16:28:57,036 | BASE_ELEMENT | INFO | Checking that text "Min score" has text "Min score: 15"
2026-03-10 16:28:57,071 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2026-03-10 16:28:57,072 | BASE_ELEMENT | INFO | Checking that text "Estimated time" is visible
2026-03-10 16:28:57,087 | BASE_ELEMENT | INFO | Getting locator with "data-testid=course-estimated-time-info-row-view-text" at index "0"
2026-03-10 16:28:57,087 | BASE_ELEMENT | INFO | Checking that text "Estimated time" has text "Estimated time: 1 weeks"
